State universities of India,,,,,,
Sr.No,University,Location,State,Applicability of Section 12 (B)?,Established,Specialization
189,Shri Jagannath Sanskrit Vishvavidyalaya,,Puri,Yes,1981,"Sanskrit, vedic studies"
190,Utkal University,,Bhubaneswar,Yes,1943,General
191,Utkal University of Culture,,Bhubaneswar,No,1999,Culture studies
192,"Veer Surendra Sai University of Technology, Burla",,Sambalpur,No,2008,Technology
193,Baba Farid University of Health Sciences,Punjab,Faridkot,Yes,2002,Healthcare
194,Guru Angad Dev Veterinary and Animal Sciences University,,Ludhiana,Yes,2005,Veterinary
195,Guru Nanak Dev University,,Amritsar,Yes,1969,General
196,Punjab Agricultural University,,Ludhiana,Yes,1962,Agriculture
197,Punjab Technical University,,Jalandhar,No,1998,Technology
198,Punjabi University,,Patiala,Yes,1962,General
199,Rajiv Gandhi National University of Law,,Patiala,Yes,2006,Legal
200,Jagadguru Ramanadacharya Rajasthan Sanskrit University,Rajasthan,Jaipur,No,1998,Sanskrit
201,Jai Narain Vyas University,,Jodhpur,Yes,1962,General
202,Maharaja Ganga Singh University,,Bikaner,No,2003,General
203,Maharana Pratap University of Agriculture and Technology,,Udaipur,No,2000,Agriculture
204,Maharshi Dayanand Saraswati University,,Ajmer,Yes,1987,General
205,Mohanlal Sukhadia University,,Udaipur,Yes,1962,General
206,"National Law University, Jodhpur",,Jodhpur,Yes,2004,Legal
207,Rajasthan Agricultural University,,Bikaner,Yes,1987,Agriculture
208,Rajasthan Ayurved University,,Jaipur,No,2004,Ayurveda
209,Rajasthan Technical University,,Kota,No,2006,Technology
210,Rajasthan University of Health Sciences,,Jaipur,No,2005,Healthcare
211,University of Kota,,Kota,No,2003,General
212,University of Rajasthan,,Jaipur,Yes,1947,General
213,Vardhaman Mahaveer Open University,,Kota,Yes,1987,Distance education
214,Alagappa University,Tamil Nadu,Karaikudi,Yes,1985,General
215,"Anna University, Chennai",,Chennai,Yes,2006,Technology
216,"Anna University of Technology, Chennai",,Chennai,No,2010,Technology
217,"Anna University of Technology, Coimbatore",,Coimbatore,No,2006,Technology
218,"Anna University of Technology, Madurai",,Madurai,No,2010,Technology
219,"Anna University of Technology, Tiruchirappalli",,Tiruchirappalli,No,2006,Technology
220,Anna University of Technology Tirunelveli,,Tirunelveli,No,2006,Technology
221,Annamalai University,,Annamalai Nagar,Yes,1929,General
222,Bharathiar University,,Coimbatore,Yes,1982,General
223,Bharathidasan University,,Tiruchirappalli,Yes,1982,General
224,Madurai Kamaraj University,,Madurai,Yes,1965,General
225,Manonmaniam Sundaranar University,,Tirunelveli,Yes,1992,General
226,Mother Teresa Women's University,,Kodaikanal,Yes,1984,Women's only
227,Periyar University,,Salem,Yes,1998,General
228,Tamil University,,Thanjavur,Yes,1981,Tamil
229,Tamil Nadu Agricultural University,,Coimbatore,Yes,1971,Agriculture
230,Tamil Nadu Dr. Ambedkar Law University,,Chennai,Yes,1998,Legal
231,Tamil Nadu Dr. M.G.R. Medical University,,Chennai,Yes,1989,Medical
232,Tamil Nadu Open University,,Chennai,No,2004,Distance education
233,Tamil Nadu Physical Education and Sports University,,Chennai,No,2005,"Sports, physical education"
234,Tamil Nadu Teacher Education University,,Chennai,No,2008,Teacher education
235,Tamil Nadu Veterinary and Animal Sciences University,,Chennai,Yes,1990,Veterinary science
236,Thiruvalluvar University,,Vellore,No,2003,General
237,University of Madras,,Chennai,Yes,1857,General
238,Bundelkhand University,Uttar Pradesh,Jhansi,Yes,1975,General
239,Chandra Shekhar Azad University of Agriculture and Technology,,Kanpur,Yes,1974,Agriculture
240,Chaudhary Charan Singh University,,Meerut,Yes,1965,General
241,Chhatrapati Shahuji Maharaj Medical University,,Lucknow,No,2004,Medicine
242,Chhatrapati Shahu Ji Maharaj University,,Kanpur,Yes,1965,General
243,Deen Dayal Upadhyay Gorakhpur University,,Gorakhpur,Yes,1957,General
244,Dr. B. R. Ambedkar University,,Agra,Yes,1927,General
245,Dr. Ram Manohar Lohia Avadh University,,Faizabad,Yes,1975,General
246,Dr. Ram Manohar Lohia National Law University,,Lucknow,Yes,2005,Legal
247,Dr. Shakuntala Misra Rehabilitation University,,Lucknow,No,2008,Disabled only
248,Gautam Buddha University,,Greater Noida,No,2002,General
249,Gautam Buddh Technical University,,Lucknow,No,2001,"Technology, management"
250,M. J. P. Rohilkhand University,,Bareilly,Yes,1975,Technology
251,Mahamaya Technical University,,Noida,No,2010,Technology
252,Mahatma Gandhi Kashi Vidyapeeth,,Varanasi,Yes,1974,General
253,"Manyavar Sri Kanshi Ram Ji Urdu, Arabi~Farsi University",,Lucknow,No,2010,"Urdu, Arabic, Persian"
254,Narendra Dev University of Agriculture and Technology,,Faizabad,Yes,1974,Agriculture
255,Sampurnanand Sanskrit University,,Varanasi,Yes,1958,Sanskrit
256,Sardar Vallabhbhai Patel University of Agriculture and Technology,,Meerut,No,2004,Agriculture
257,University of Lucknow,,Lucknow,Yes,1921,General
258,Uttar Pradesh King George's University of Dental Sciences,,Lucknow,No,2004,Dentistry
259,Uttar Pradesh Rajarshi Tandon Open University,,Allahabad,No,2004,Distance education
260,Veer Bahadur Singh Purvanchal University,,Jaunpur,Yes,1987,General
261,Doon University,Uttarakhand,Dehradun,Yes,2005,General
262,G. B. Pant University of Agriculture and Technology,,Pantnagar,Yes,1960,"Agriculture, technology"
263,Kumaun University,,Nainital,Yes,1973,General
264,Uttarakhand Open University,,Haldwani,Yes,2005,Distance education
265,Uttarakhand Technical University,,Dehradun,No,2008,Technology
266,Uttaranchal Sanskrit University,,Haridwar,No,2005,Sanskrit
267,Aliah University,West Bengal,Kolkata,No,2007,General
268,"Bengal Engineering and Science University, Shibpur",,Shibpur,Yes,1856 (Converted in 2004),Technology
269,Bidhan Chandra Krishi Viswavidyalaya,,Haringhata,Yes,1974,Agriculture
270,Jadavpur University,,Kolkata,Yes,1955,General
271,Netaji Subhas Open University,,Kolkata,No,1997,Distance education
272,"Presidency University, Kolkata",,Kolkata,Yes,2010,General
273,Rabindra Bharati University,,Kolkata,Yes,1962,General
274,Sidho Kanho Birsha University,,Purulia,No,2010,General
275,University of Burdwan,,Bardhaman,Yes,1960,General
276,University of Calcutta,,Kolkata,Yes,1857,General
277,University of Gour Banga,,Malda,No,2007,General
278,University of Kalyani,,Kalyani,Yes,1960,General
279,University of North Bengal,,Siliguri,Yes,1962,General
280,Uttar Banga Krishi Vishwavidyalaya,,Cooch Behar,No,2001,Agriculture
281,Vidyasagar University,,Medinipur,Yes,1981,General
282,West Bengal State University,,Barasat,No,2007,General
283,West Bengal National University of Juridical Sciences,,Kolkata,Yes,2004,Legal
284,West Bengal University of Animal and Fishery Sciences,,Kolkata,No,1995,Veterinary science
285,West Bengal University of Health Sciences,,Kolkata,No,2002,Medical
286,West Bengal University of Technology,,Kolkata,Yes,2001,Technology
,,,,,,
For other more formats kindly visit www.downloadexcelfiles.com,,,,,,
,,,,,,
Original source : en.wikipedia.org/wiki/List_of_state_universities_in_India,,,,,,
